"ID	FIRST NAME	LAST NAME	BIRTHDAY	SEX	EMAIL	PHONE	ADDRESS	SSS	PAG-IBIG	HEALTH	STATUS	POSITION	DEPARTMENT	SUPERVISOR	HIRED DATE	JOB TITLE",,,,,,,,,,,,,,,,
10,Alvaro,Roderick,3/30/1988,M,ralvaro@motorph.com,053-381-386,"#284 T. Morato corner, Scout Rallos Street, Quezon City",64-7605054-4,7.99254E+11,5.78115E+11,Regular,Accounting Head,Management ,"Aquino, Bianca Sofia ",1/1/2010,AH
11,Salcedo,Anthony,9/14/1993,M,asalcedo@motorph.com,070-766-300,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",26-9647608-3,2.18002E+11,1.26445E+11,Regular,Payroll Manager,Management ,"Alvaro, Roderick",1/1/2010,PM
12,Lopez,Josie ,1/14/1987,F,jlopez@motorph.com,478-355-427,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",44-8563448-3,1.13071E+11,4.31709E+11,Regular,Payroll Team Leader,Management ,"Salcedo, Anthony",1/1/2010,PTL
13,Farala,Martha,1/11/1942,F,mfarala@motorph.com,329-034-366,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",45-5656375-0,6.3113E+11,2.33694E+11,Regular,Payroll Rank and File,Management ,"Salcedo, Anthony",1/1/2010,PRF
14,Martinez,Leila,7/11/1970,F,lmartinez@motorph.com,877-110-749,"37/46 Kulas Roads, Maragondon 0962 Quirino ",27-2090996-4,1.01205E+11,5.15741E+11,Regular,Payroll Rank and File,Management ,"Salcedo, Anthony",1/1/2010,PRF
15,Romualdez,Fredrick ,3/10/1985,M,fromualdez@motorph.com,023-079-009,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",26-8768374-1,2.23058E+11,3.08367E+11,Regular,Account Manager,Management ,"Lim, Antonio",1/1/2010,AM
16,Mata,Christian,10/21/1987,M,cmata@motorph.com,783-776-744,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",49-2959312-6,6.31053E+11,8.24188E+11,Regular,Account Team Leader,Management ,"Romualdez, Fredrick ",1/1/2010,ATL
17,De Leon,Selena ,2/20/1975,F,sdeleon@motorph.com,975-432-139,"89A Armstrong Trace, Compostela 7874 Maguindanao",27-2090208-8,7.19008E+11,5.87272E+11,Regular,Account Team Leader,Management ,"Romualdez, Fredrick ",1/1/2010,ATL
18,San Jose,Allison ,6/24/1986,F,asanjose@motorph.com,179-075-129,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",45-3251383-0,1.14902E+11,7.45148E+11,Regular,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF
19,Rosario,Cydney ,10/6/1996,F,crosario@motorph.com,868-819-912,"93A/21 Berge Points, Tapaz 2180 Quezon",49-1629900-2,2.65104E+11,5.79253E+11,Regular,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF
20,Bautista,Mark ,2/12/1991,M,mbautista@motorph.com,683-725-348,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",49-1647342-5,2.60055E+11,3.99665E+11,Regular,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF
21,Lazaro,Darlene ,11/25/1985,F,dlazaro@motorph.com,740-721-558,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",45-5617168-2,1.04908E+11,6.06387E+11,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF
22,Delos Santos,Kolby ,2/26/1980,M,kdelossantos@motorph.com,739-443-033,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",52-0109570-6,1.13018E+11,3.57451E+11,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF
23,Santos,Vella ,12/31/1983,F,vsantos@motorph.com,955-879-269,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",52-9883524-3,3.60028E+11,5.4867E+11,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF
24,Del Rosario,Tomas,12/18/1978,M,tdelrosario@motorph.com,882-550-989,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",45-5866331-6,9.13109E+11,9.53902E+11,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF
25,Tolentino,Jacklyn ,5/19/1984,F,jtolentino@motorph.com,675-757-366,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",47-1692793-0,2.10547E+11,7.53801E+11,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF
25,Ramos,Carol ,8/20/1978,F,cramos@motorph.com,250-700-389,"72/70 Stamm Spurs, Bustos 4550 Iloilo",60-1152206-4,2.12142E+11,3.5183E+11,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF
26,Gutierrez,Percival ,12/18/1970,F,pgutierrez@motorph.com,512-899-876,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",40-9504657-8,2.10897E+11,7.97639E+11,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF
26,Maceda,Emelia ,4/14/1973,F,emaceda@motorph.com,973-358-041,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",54-1331005-0,5.15013E+11,4.65088E+11,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF
27,Manalaysay,Garfield ,8/28/1986,M,gmanalaysay@motorph.com,948-628-136,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",45-3298166-4,2.11274E+11,8.10909E+11,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF
27,Aguilar,Delia ,1/27/1989,F,daguilar@motorph.com,529-705-439,"95 Cremin Junction, Surallah 2809 Cotabato",52-1859253-1,1.10019E+11,1.36451E+11,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF
28,Villegas,Lizeth ,12/12/1981,F,lvillegas@motorph.com,332-372-215,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",40-2400719-4,1.22238E+11,9.3439E+11,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF
32,Castro,John Rafael,2/9/1992,M,jrcastro@motorph.com,332-424-955 ,"Hi-way, Yati, Liloan Cebu",26-7145133-4,6.97764E+11,6.01645E+11,Regular,Sales & Marketing,Management ,"Reyes, Isabella",1/1/2010,SM
33,Martinez,Carlos Ian,11/16/1990,M,cimartinez@motorph.com,078-854-208,"Bulala, Camalaniugan",11-5062972-7,9.93373E+11,3.80685E+11,Regular,Supply Chain and Logistics,Management ,"Reyes, Isabella",1/1/2010,SCL
34,Santos,Beatriz,8/7/1990,F,bsantos@motorph.com,526-639-511,"Agapita Building, Metro Manila",20-2987501-5,8.74042E+11,9.1846E+11,Regular,Customer Service and Relations,Management ,"Reyes, Isabella",1/1/2010,CSR
